iter	Passed	Remaining
0	135	13458
1	161	7911
2	186	6022
3	217	5208
4	243	4620
5	274	4297
6	300	3987
7	325	3743
8	349	3532
9	376	3387
10	403	3260
11	429	3146
12	451	3023
13	476	2927
14	498	2826
15	526	2762
16	549	2681
17	573	2611
18	596	2541
19	617	2471
20	641	2413
21	664	2357
22	688	2305
23	710	2250
24	733	2199
25	759	2160
26	780	2110
27	803	2067
28	827	2026
29	851	1986
30	874	1946
31	897	1906
32	920	1869
33	943	1830
34	965	1793
35	989	1759
36	1014	1726
37	1038	1694
38	1061	1660
39	1086	1629
40	1109	1595
41	1132	1563
42	1155	1531
43	1178	1500
44	1202	1469
45	1225	1438
46	1249	1408
47	1273	1379
48	1295	1348
49	1318	1318
50	1342	1289
51	1366	1261
52	1390	1232
53	1411	1202
54	1435	1174
55	1460	1147
56	1474	1112
57	1496	1083
58	1519	1056
59	1543	1028
60	1566	1001
61	1588	973
62	1611	946
63	1636	920
64	1662	895
65	1686	868
66	1708	841
67	1733	815
68	1757	789
69	1782	764
70	1806	738
71	1831	712
72	1854	686
73	1875	659
74	1898	632
75	1921	606
76	1945	581
77	1968	555
78	1990	529
79	2013	503
80	2036	477
81	2060	452
82	2084	426
83	2106	401
84	2131	376
85	2153	350
86	2177	325
87	2201	300
88	2223	274
89	2247	249
90	2268	224
91	2295	199
92	2317	174
93	2339	149
94	2363	124
95	2387	99
96	2414	74
97	2440	49
98	2467	24
99	2493	0
